"category_id","name"
1557,"Computers&Accessories"
1558,"Headsets"
1559,"SecureDigitalCards"
1560,"Paper"
1561,"Webcams"
1562,"Bags&Sleeves"
1563,"StorageWaterHeaters"
1564,"HardDiskBags"
1565,"StandMixerAccessories"
1566,"Electrical"
1567,"Speakers"
1568,"SpeakerCables"
1569,"PaintingMaterials"
1570,"Webcams&VoIPEquipment"
1571,"Bedstand&DeskMounts"
1572,"Car&Motorbike"
1573,"Split-SystemAirConditioners"
1574,"TabletAccessories"
1575,"Home&Kitchen"
1576,"Televisions"
1577,"CoffeeMakerAccessories"
1578,"WaterHeaters&Geysers"
1579,"OpticalCables"
1580,"CordManagement"
1581,"Cases&Covers"
1582,"BasicCases"
1583,"Maintenance,Upkeep&Repairs"
1584,"Monitors"
1585,"ImmersionRods"
1586,"CraftMaterials"
1587,"StickBallpointPens"
1588,"GelInkRollerballPens"
1589,"InkjetInkRefills&Kits"
1590,"Adapters"
1591,"CleaningKits"
1592,"Tape"
1593,"Cleaners"
1594,"Calculators"
1595,"Arts&Crafts"
1596,"Cameras&Photography"
1597,"EthernetCables"
1598,"MixerGrinders"
1599,"SmartTelevisions"
1600,"Coffee,Tea&Espresso"
1601,"Headphones,Earbuds&Accessories"
1602,"TowerSpeakers"
1603,"HandheldVacuums"
1604,"GamingKeyboards"
1605,"OfficeProducts"
1606,"StandMixers"
1607,"Film"
1608,"MilkFrothers"
1609,"Décor"
1610,"LaptopSleeves&Slipcases"
1611,"Kettles&HotWaterDispensers"
1612,"RemoteControls"
1613,"Projectors"
1614,"Pens"
1615,"IroningAccessories"
1616,"TVWall&CeilingMounts"
1617,"HandBlenders"
1618,"HDMICables"
1619,"DripCoffeeMachines"
1620,"JuicerMixerGrinders"
1621,"WearableTechnology"
1622,"YogurtMakers"
1623,"ColdPressJuicers"
1624,"PhoneCharms"
1625,"Tablets"
1626,"Stationery"
1627,"SatelliteEquipment"
1628,"Routers"
1629,"Vacuums&FloorCare"
1630,"VideoCameras"
1631,"ElectricGrinders"
1632,"LaundryBaskets"
1633,"Choppers"
1634,"HomeMedicalSupplies&Equipment"
1635,"Accessories"
1636,"LaundryBags"
1637,"Chargers"
1638,"LaundryOrganization"
1639,"MobileAccessories"
1640,"WallChargers"
1641,"AirPurifiers"
1642,"Cables"
1643,"HalogenHeaters"
1644,"NetworkAdapters"
1645,"PedestalFans"
1646,"UninterruptedPowerSupplies"
1647,"Earpads"
1648,"SmartWatches"
